"","OwnerID","FranchiseNumber","LeagueID","Points","Rank"
"642",642,6,54,2377,3
"643",643,7,54,2283.7,6
"644",644,8,54,2307.3,5
"645",645,9,54,2101.2,10
"646",646,10,54,1931.5,12
"647",647,11,54,2156.7,8
"648",648,12,54,2074.3,11
"649",649,1,55,2297.6,5
"650",650,2,55,2327.7,4
"651",651,3,55,2381.2,3
"652",652,4,55,2420.2,2
"653",653,5,55,2276,6
"654",654,6,55,2188.4,8
"655",655,7,55,1937.1,12
"656",656,8,55,2016.3,11
"657",657,9,55,2141.9,10
"658",658,10,55,2171.8,9
"659",659,11,55,2266.8,7
"660",660,12,55,2450.8,1
"661",661,1,56,2512.4,1
"662",662,2,56,2026.5,6
"663",663,3,56,2454.9,3
"664",664,4,56,2166.2,5
"665",665,5,56,1677.6,12
"666",666,6,56,1981.5,9
"667",667,7,56,2508.6,2
"668",668,8,56,1986.9,8
"669",669,9,56,1939.3,10
"670",670,10,56,2374.9,4
"671",671,11,56,2004.7,7
"672",672,12,56,1737.9,11
"673",673,1,57,2314.9,3
"674",674,2,57,2547.6,1
"675",675,3,57,2164.9,7
"676",676,4,57,2148.3,8
"677",677,5,57,2058.2,11
"678",678,6,57,2230.3,5
"679",679,7,57,2413.7,2
"680",680,8,57,2313.7,4
"681",681,9,57,2205.9,6
"682",682,10,57,2019.1,12
"683",683,11,57,2133.3,10
"684",684,12,57,2146.4,9
"685",685,1,58,2156.4,6
"686",686,2,58,2081.2,10
"687",687,3,58,2380.5,1
"688",688,4,58,2326.4,3
"689",689,5,58,2327.2,2
"690",690,6,58,1972.4,11
"691",691,7,58,2265.8,5
"692",692,8,58,2135.6,8
"693",693,9,58,2132.6,9
"694",694,10,58,1924.5,12
"695",695,11,58,2326.2,4
"696",696,12,58,2145.6,7
"697",697,1,59,2140.3,8
"698",698,2,59,1693.2,12
"699",699,3,59,2188.3,6
"700",700,4,59,2177.4,7
"701",701,5,59,2484.7,1
"702",702,6,59,2203.1,5
"703",703,7,59,2290.7,4
"704",704,8,59,2476.6,2
"705",705,9,59,2465.5,3
"706",706,10,59,1860,11
"707",707,11,59,2052.8,10
"708",708,12,59,2081.7,9
"709",709,1,60,2094.6,7
"710",710,2,60,2010.8,9
"711",711,3,60,2296.5,4
"712",712,4,60,2357.2,3
"713",713,5,60,2430.3,2
"714",714,6,60,1849.7,11
"715",715,7,60,2248.6,5
"716",716,8,60,2557.6,1
"717",717,9,60,1890.7,10
"718",718,10,60,2059.9,8
"719",719,11,60,1846.4,12
"720",720,12,60,2143.2,6
"721",721,1,61,2352,3
"722",722,2,61,2426.1,1
"723",723,3,61,2249.4,5
"724",724,4,61,2030.8,11
"725",725,5,61,2053.5,9
"726",726,6,61,2277.1,4
"727",727,7,61,2017.1,12
"728",728,8,61,2359.4,2
"729",729,9,61,2052.3,10
"730",730,10,61,2099.6,8
"731",731,11,61,2118.6,7
"732",732,12,61,2162.4,6
"733",733,1,62,2433.1,1
"734",734,2,62,2272.5,6
"735",735,3,62,2373.9,3
"736",736,4,62,2156.7,8
"737",737,5,62,2013.9,10
"738",738,6,62,1987.7,11
"739",739,7,62,2234.6,7
"740",740,8,62,2419.8,2
"741",741,9,62,1943.2,12
"742",742,10,62,2311.9,5
"743",743,11,62,2076.3,9
"744",744,12,62,2322.2,4
"745",745,1,63,2043,8
"746",746,2,63,1975.6,10
"747",747,3,63,2570.1,1
"748",748,4,63,2412.8,3
"749",749,5,63,2202.2,5
"750",750,6,63,2226.6,4
"751",751,7,63,2021.1,9
"752",752,8,63,2415,2
"753",753,9,63,1898.4,12
"754",754,10,63,2076.4,7
"755",755,11,63,2169.3,6
"756",756,12,63,1970.2,11
"757",757,1,64,1926.6,10
"758",758,2,64,2295.2,6
"759",759,3,64,2247.9,7
"760",760,4,64,2203.5,8
"761",761,5,64,2297.3,5
"762",762,6,64,2409.7,3
"763",763,7,64,2136.2,9
"764",764,8,64,2344.7,4
"765",765,9,64,2475.5,1
"766",766,10,64,2435.7,2
"767",767,11,64,1765.1,12
"768",768,12,64,1802.7,11
"769",769,1,65,2291.5,4
"770",770,2,65,1928.8,10
"771",771,3,65,2439.9,2
"772",772,4,65,2143.7,9
"773",773,5,65,1916.5,11
"774",774,6,65,2355,3
"775",775,7,65,2267.1,5
"776",776,8,65,2473.6,1
"777",777,9,65,2242.2,7
"778",778,10,65,2242,8
"779",779,11,65,2263,6
"780",780,12,65,1786,12
"781",781,1,66,2056.3,8
"782",782,2,66,2158,7
"783",783,3,66,1976.4,10
"784",784,4,66,2281.5,5
"785",785,5,66,2426.9,1
"786",786,6,66,2003.3,9
"787",787,7,66,2298.7,4
"788",788,8,66,1646.5,12
"789",789,9,66,2253.1,6
"790",790,10,66,2313.8,3
"791",791,11,66,1956.6,11
"792",792,12,66,2358.7,2
"793",793,1,67,2293.7,4
"794",794,2,67,2427.6,2
"795",795,3,67,2447.3,1
"796",796,4,67,2159.7,10
"797",797,5,67,1968.3,11
"798",798,6,67,1871.1,12
"799",799,7,67,2303.8,3
"800",800,8,67,2235.3,6
"801",801,9,67,2236.4,5
"802",802,10,67,2167.6,9
"803",803,11,67,2198.3,7
