"","PlayerID","PlayerYear","Position","Team","Status","Name"
"322",519,2015,"QB","NYJ",NA,"Fitzpatrick, Ryan"
"323",1276,2015,"QB","WAS",NA,"Cousins, Kirk"
"324",1116,2015,"RB","CHI",NA,"Rodgers, Jacquizz"
"325",720,2015,"WR","TEN",NA,"Douglas, Harry"
"326",1912,2015,"WR","BAL",NA,"Matthews, Chris"
"327",1688,2015,"TE","SEA",NA,"Willson, Luke"
"328",2225,2015,"TE","BUF","R","O'Leary, Nick"
"329",1849,2015,"WR","SEA",NA,"Richardson, Paul"
"330",636,2015,"TE","NEP",NA,"Chandler, Scott"
"331",650,2015,"TE","PHI",NA,"Celek, Brent"
"332",953,2015,"RB","JAC",NA,"Gerhart, Toby"
"333",2281,2015,"WR","BAL","R","Waller, Darren"
"334",1261,2015,"WR","BAL",NA,"Aiken, Kamar"
"335",1918,2015,"QB","NEP",NA,"Garoppolo, Jimmy"
"336",2204,2015,"WR","MIN","R","Diggs, Stefon"
"337",1828,2015,"WR","KCC",NA,"Thomas, De'Anthony"
"338",1438,2015,"RB","TBB",NA,"Rainey, Bobby"
"339",1830,2015,"RB","NEP",NA,"Gaffney, Tyler"
"340",1576,2015,"TE","DAL",NA,"Escobar, Gavin"
"341",2283,2015,"WR","FA","R","Davis, Devante"
"342",2183,2015,"RB","FA","R","Dyer, Michael"
"343",2274,2015,"RB","SFO","R","Hayne, Jarryd"
"344",1467,2015,"RB","MIN",NA,"Asiata, Matt"
"345",1223,2015,"WR","SEA",NA,"Lockette, Ricardo"
"346",1814,2015,"QB","TEN",NA,"Mettenberger, Zach"
"347",1727,2015,"RB","STL",NA,"Cunningham, Benny"
"348",1736,2015,"WR","ARI",NA,"Brown, Jaron"
"349",761,2015,"RB","CAR",NA,"Tolbert, Mike"
"350",476,2015,"WR","CAR",NA,"Cotchery, Jerricho"
"351",1519,2015,"QB","BUF",NA,"Manuel, E.J."
"352",2327,2015,"TE","MIN","R","Pruitt, MyCole"
"353",922,2015,"TE","ARI",NA,"Gresham, Jermaine"
"354",2041,2015,"RB","TEN",NA,"Andrews, Antonio"
"355",1171,2015,"RB","NYJ",NA,"Powell, Bilal"
"356",420,2015,"QB","CLE",NA,"McCown, Josh"
"357",518,2015,"QB","DAL",NA,"Cassel, Matt"
"358",2074,2015,"WR","SDC",NA,"Inman, Dontrelle"
"359",1832,2015,"RB","FA",NA,"Johnson, Storm"
"360",2207,2015,"CB","MIA","R","Lippett, Tony"
"361",2057,2015,"RB","DEN",NA,"Thompson, Juwan"
"362",1456,2015,"RB","HOU",NA,"Grimes, Jonathan"
"363",1940,2015,"RB","NYJ",NA,"Archer, Dri"
"364",465,2015,"RB","NEP",NA,"Jackson, Steven"
"365",2222,2015,"WR","SFO","R","Smelter, DeAndre"
"366",2348,2015,"TE","KCC","R","O'Shaughnessy, James"
"367",1503,2015,"RB","NEP",NA,"Develin, James"
"368",2464,2015,"RB","ATL","R","Ward, Terron"
"369",523,2015,"WR","HOU",NA,"Washington, Nate"
"370",2278,2015,"WR","TEN","R","McBride, Tre"
"371",1183,2015,"WR","NYJ",NA,"Kerley, Jeremy"
"372",1032,2015,"RB","FA",NA,"Smith, Antone"
"373",1574,2015,"TE","MIA",NA,"Sims, Dion"
"374",1787,2015,"WR","NYG",NA,"White, Myles"
"375",734,2015,"RB","NOS",NA,"Hightower, Tim"
"376",2008,2015,"WR","BAL",NA,"Campanaro, Michael"
"377",2191,2015,"DT","NEP","R","Brown, Malcom"
"378",681,2015,"WR","DEN",NA,"Caldwell, Andre"
"379",1427,2015,"RB","SEA",NA,"Brown, Bryce"
"380",977,2015,"WR","WAS",NA,"Roberts, Andre"
"381",941,2015,"QB","FA",NA,"Tebow, Tim"
"382",998,2015,"TE","GBP",NA,"Quarless, Andrew"
"383",1834,2015,"RB","WAS",NA,"Redd, Silas"
"384",2002,2015,"WR","NYJ",NA,"Enunwa, Quincy"
"385",558,2015,"WR","ATL",NA,"Hester, Devin"
"386",1531,2015,"RB","CIN",NA,"Burkhead, Rex"
"387",858,2015,"TE","TBB",NA,"Myers, Brandon"
"388",600,2015,"RB","GBP",NA,"Kuhn, John"
"389",2226,2015,"TE","DEN","R","Heuerman, Jeff"
"390",1954,2015,"WR","CAR",NA,"Norwood, Kevin"
"391",405,2015,"QB","PIT",NA,"Vick, Michael"
"392",1651,2015,"RB","CAR",NA,"Whittaker, Fozzy"
"393",1425,2015,"WR","MIA",NA,"Matthews, Rishard"
"394",937,2015,"RB","TEN",NA,"McCluster, Dexter"
"395",969,2015,"RB","FA",NA,"Tate, Ben"
"396",1866,2015,"TE","ARI",NA,"Niklas, Troy"
"397",613,2015,"WR","CAR",NA,"Ginn Jr., Ted"
"398",2457,2015,"WR","DAL","R","Whitehead, Lucky"
"399",1498,2015,"RB","FA",NA,"Stewart, Jeremy"
"400",1170,2015,"RB","OAK",NA,"Jones, Taiwan"
"401",1528,2015,"RB","PHI",NA,"Barner, Kenjon"
"402",1648,2015,"TE","ARI",NA,"Fells, Darren"
"403",1772,2015,"RB","SEA",NA,"Coleman, Derrick"
"404",1303,2015,"WR","BAL",NA,"Givens, Chris"
"405",2407,2015,"RB","FA","R","Agnew, Malcolm"
"406",1850,2015,"WR","GBP",NA,"Abbrederis, Jared"
"407",2097,2015,"RB","FA",NA,"Agnew, Ray"
"408",883,2015,"WR","PHI",NA,"Ajirotutu, Seyi"
"409",1037,2015,"WR","FA",NA,"Alexander, Danario"
"410",2392,2015,"WR","CIN","R","Alford, Mario"
"411",2135,2015,"TE","NOS",NA,"Allen, Rashaun"
"412",515,2015,"QB","CAR",NA,"Anderson, Derek"
"413",1865,2015,"TE","SFO","R","Anderson, Rory"
"414",990,2015,"TE","JAC",NA,"Harbor, Clay"
"415",2185,2015,"RB","HOU","R","Hilliard, Kenny"
"416",816,2015,"TE","FA",NA,"Casey, James"
"417",2406,2015,"RB","GBP","R","Crockett, John"
"418",797,2015,"WR","NYG",NA,"Nicks, Hakeem"
"419",1443,2015,"TE","WAS",NA,"Carrier, Derek"
"420",799,2015,"WR","PIT",NA,"Heyward-Bey, Darrius"
"421",1,2015,"TMWR","BUF",NA,"Bills, Buffalo"
"422",1120,2015,"RB","NOS",NA,"Hunter, Kendall"
"423",987,2015,"TE","HOU",NA,"Graham, Garrett"
"424",2201,2015,"WR","JAC","R","Greene, Rashad"
"425",1117,2015,"RB","PIT",NA,"Todman, Jordan"
"426",1225,2015,"QB","GBP",NA,"Tolzien, Scott"
"427",1286,2015,"RB","JAC",NA,"Pierce, Bernard"
"428",1551,2015,"WR","SFO",NA,"Patton, Quinton"
"429",556,2015,"TE","TEN",NA,"Fasano, Anthony"
"430",2214,2015,"WR","DAL","R","Mayle, Vince"
"431",1274,2015,"QB","HOU",NA,"Weeden, Brandon"
"432",120,2015,"TMLB","MIN",NA,"Vikings, Minnesota"
"433",575,2015,"PK","NEP",NA,"Gostkowski, Stephen"
"434",355,2015,"TMPN","MIA",NA,"Dolphins, Miami"
"435",2450,2015,"WR","FA","R","Browning, Paul"
"436",1577,2015,"TE","ATL",NA,"Toilolo, Levine"
"437",485,2015,"WR","STL",NA,"Welker, Wes"
"438",1854,2015,"WR","DAL",NA,"Street, Devin"
"439",900,2015,"RB","OAK",NA,"Reece, Marcel"
"440",1053,2015,"TE","WAS",NA,"Paulsen, Logan"
"441",1285,2015,"RB","FA",NA,"James, LaMichael"
"442",1193,2015,"WR","NYG",NA,"Harris, Dwayne"
"443",2210,2015,"WR","SFO","R","Anderson, Dres"
"444",1820,2015,"RB","FA",NA,"Seastrunk, Lache"
"445",1288,2015,"RB","NOS",NA,"Ballard, Vick"
"446",1557,2015,"WR","NEP",NA,"Boyce, Josh"
"447",512,2015,"QB","DET",NA,"Orlovsky, Dan"
"448",1439,2015,"WR","BUF",NA,"Boykin, Jarrett"
